"","unique_squirrel_id","hectare","shift","date","hectare_squirrel_number","age","primary_fur_color","highlight_fur_color","combination_of_primary_and_highlight_color","location","lat_long","long","lat","activity","reaction","sounds"
"1492","12E-AM-1017-05","12E","1",2018-10-17,5,"1","1","Cinnamon","Gray+Cinnamon","1","POINT (-73.9713070217071 40.7753795014815)",-73.9713070217071,40.7753795014815,"2","1","0"
"1493","2A-AM-1010-04","02A","1",2018-10-10,4,"1","2","Gray","Cinnamon+Gray","1","POINT (-73.9807078515193 40.7683335292642)",-73.9807078515193,40.7683335292642,"2","1","0"
"1494","22B-AM-1013-01","22B","1",2018-10-13,1,"1","1","Cinnamon","Gray+Cinnamon","1","POINT (-73.9684790657851 40.7838818717863)",-73.9684790657851,40.7838818717863,"3","0","0"
"1495","39H-AM-1007-03","39H","1",2018-10-07,3,"2","1","White","Gray+White","1","POINT (-73.9525752408169 40.7954915417553)",-73.9525752408169,40.7954915417553,"2","0","0"
"1496","5F-AM-1007-06","05F","1",2018-10-07,6,"1","1",NA,"Gray+","2","POINT (-73.9735137178369 40.769109895294)",-73.9735137178369,40.769109895294,"2","0","0"
"1497","32C-PM-1013-05","32C","2",2018-10-13,5,"1","1",NA,"Gray+","1","POINT (-73.9615500510038 40.7920799263699)",-73.9615500510038,40.7920799263699,"1","0","0"
"1498","6G-PM-1020-03","06G","2",2018-10-20,3,"1","1",NA,"Gray+","1","POINT (-73.9722261495647 40.7690542072646)",-73.9722261495647,40.7690542072646,"3","1","0"
"1499","8B-AM-1007-06","08B","1",2018-10-07,6,"1","1","White","Gray+White","1","POINT (-73.9765064169087 40.7737211426714)",-73.9765064169087,40.7737211426714,"3","1","0"
"1500","21H-AM-1017-01","21H","1",2018-10-17,1,"1","1","Cinnamon","Gray+Cinnamon","1","POINT (-73.9625205538171 40.7810785055136)",-73.9625205538171,40.7810785055136,"2","2","0"
"1501","6C-AM-1007-01","06C","1",2018-10-07,1,"1","1","White","Gray+White","2","POINT (-73.97699695480242 40.7710711265211)",-73.9769969548024,40.7710711265211,"4","0","0"
"1502","36A-PM-1013-05","36A","2",2018-10-13,5,"0","1","Cinnamon","Gray+Cinnamon","1","POINT (-73.9608167300104 40.7954348688268)",-73.9608167300104,40.7954348688268,"3","2","0"
"1503","13E-AM-1017-03","13E","1",2018-10-17,3,"1","1","White","Gray+White","1","POINT (-73.9705254801 40.7763606494306)",-73.9705254801,40.7763606494306,"2","2","1"
"1504","11D-PM-1006-01","11D","2",2018-10-06,1,"1","1","Cinnamon","Gray+Cinnamon","2","POINT (-73.9732193290631 40.7748791447746)",-73.9732193290631,40.7748791447746,"4","1","0"
"1505","17C-PM-1013-02","17C","2",2018-10-13,2,"1","1",NA,"Gray+","2","POINT (-73.9706586108006 40.7796357444471)",-73.9706586108006,40.7796357444471,"2","1","0"
"1506","5G-PM-1010-01","05G","2",2018-10-10,1,"1","2","Gray","Cinnamon+Gray","1","POINT (-73.9733461334967 40.7684314285151)",-73.9733461334967,40.7684314285151,"2","1","0"
"1507","14B-PM-1014-04","14B","2",2018-10-14,4,"1","1","Cinnamon","Gray+Cinnamon","2","POINT (-73.9728339757306 40.7782891207966)",-73.9728339757306,40.7782891207966,"0","0","0"
"1508","11F-AM-1013-02","11F","1",2018-10-13,2,"1","1",NA,"Gray+","2","POINT (-73.9699799501516 40.7736576286234)",-73.9699799501516,40.7736576286234,"4","2","0"
"1509","13F-PM-1008-04","13F","2",2018-10-08,4,"1","1","Cinnamon","Gray+Cinnamon","2","POINT (-73.9693894305786 40.7756906748026)",-73.9693894305786,40.7756906748026,"0","0","1"
"1510","39E-AM-1018-04","39E","1",2018-10-18,4,"1","1",NA,"Gray+","1","POINT (-73.9556450015702 40.7967188058002)",-73.9556450015702,40.7967188058002,"5","1","0"
"1511","16H-PM-1014-03","16H","2",2018-10-14,3,"1","1","White","Gray+White","1","POINT (-73.9655670884957 40.7763728890554)",-73.9655670884957,40.7763728890554,"1","3","0"
"1512","7G-AM-1010-01","07G","1",2018-10-10,1,"1","1","Cinnamon","Gray+Cinnamon","1","POINT (-73.9721642509914 40.7701179390078)",-73.9721642509914,40.7701179390078,"1","1","0"
"1513","5G-AM-1006-01","05G","1",2018-10-06,1,"1","1","Black","Gray+Black","2","POINT (-73.9733882364574 40.7683078706597)",-73.9733882364574,40.7683078706597,"4","0","0"
"1514","28A-PM-1007-03","28A","2",2018-10-07,3,"1","2","Gray","Cinnamon+Gray","1","POINT (-73.9662409997642 40.7891042935432)",-73.9662409997642,40.7891042935432,"5","1","0"
"1515","38G-PM-1020-08","38G","2",2018-10-20,8,"1","1","Cinnamon, White","Gray+Cinnamon, White","1","POINT (-73.9548006161673 40.7945503341011)",-73.9548006161673,40.7945503341011,"2","1","1"
"1516","39G-PM-1013-02","39G","2",2018-10-13,2,"1","1","Cinnamon","Gray+Cinnamon","1","POINT (-73.9530326577312 40.795692238639504)",-73.9530326577312,40.7956922386395,"1","0","0"
"1517","28D-AM-1012-03","28D","1",2018-10-12,3,"1","3",NA,"Black+","2","POINT (-73.9625383795297 40.7883862331728)",-73.9625383795297,40.7883862331728,"1","1","0"
"1518","21A-AM-1019-07","21A","1",2018-10-19,7,"1","1",NA,"Gray+","2","POINT (-73.970041085185 40.783442758031306)",-73.970041085185,40.7834427580313,"1","1","0"
"1519","22G-AM-1018-04","22G","1",2018-10-18,4,"1","1","Cinnamon","Gray+Cinnamon","2","POINT (-73.9632265832593 40.78169144754611)",-73.9632265832593,40.7816914475461,"4","0","0"
